ID,Region,District,Longitude,Latitude
1,Magway Region,Gangaw District,94.4252003,21.9630501
1,Magway Region,Gangaw District,94.4235268,21.9585311
1,Magway Region,Gangaw District,94.421184,21.9494933
1,Magway Region,Gangaw District,94.4200126,21.9433008
1,Magway Region,Gangaw District,94.4213516,21.9366062
1,Magway Region,Gangaw District,94.4241968,21.9320873
1,Magway Region,Gangaw District,94.4220212,21.9294094
1,Magway Region,Gangaw District,94.4190089,21.9240537
1,Magway Region,Gangaw District,94.4191764,21.9176938
1,Magway Region,Gangaw District,94.4186744,21.9128402
1,Magway Region,Gangaw District,94.4173357,21.9024634
1,Magway Region,Gangaw District,94.414993,21.8860615
1,Magway Region,Gangaw District,94.4096379,21.871668
1,Magway Region,Gangaw District,94.4108096,21.8632997
1,Magway Region,Gangaw District,94.4151609,21.8627977
1,Magway Region,Gangaw District,94.412818,21.8562704
1,Magway Region,Gangaw District,94.412504,21.8461171
1,Magway Region,Gangaw District,94.4079649,21.8418768
1,Magway Region,Gangaw District,94.4086344,21.8386969
1,Magway Region,Gangaw District,94.4116877,21.8357258
1,Magway Region,Gangaw District,94.4103435,21.8325161
1,Magway Region,Gangaw District,94.409417,21.8293656
1,Magway Region,Gangaw District,94.4070081,21.8236206
1,Magway Region,Gangaw District,94.4003368,21.8219526
1,Magway Region,Gangaw District,94.3984838,21.8182462
1,Magway Region,Gangaw District,94.3936658,21.8134278
1,Magway Region,Gangaw District,94.3901449,21.8093507
1,Magway Region,Gangaw District,94.3853268,21.8080533
1,Magway Region,Gangaw District,94.3795821,21.8097211
1,Magway Region,Gangaw District,94.3762464,21.8117596
1,Magway Region,Gangaw District,94.3716136,21.8117595
1,Magway Region,Gangaw District,94.3607993,21.8116017
1,Magway Region,Gangaw District,94.3545165,21.8115213
1,Magway Region,Gangaw District,94.3467305,21.8150309
1,Magway Region,Gangaw District,94.3404477,21.8149473
1,Magway Region,Gangaw District,94.3371118,21.8162071
1,Magway Region,Gangaw District,94.3306468,21.8131647
1,Magway Region,Gangaw District,94.3199986,21.8078406
1,Magway Region,Gangaw District,94.323041,21.804418
1,Magway Region,Gangaw District,94.323041,21.7998545
1,Magway Region,Gangaw District,94.3209393,21.7970956
1,Magway Region,Gangaw District,94.3167553,21.7944176
1,Magway Region,Gangaw District,94.318429,21.7897314
1,Magway Region,Gangaw District,94.3207722,21.7808611
1,Magway Region,Gangaw District,94.3209397,21.7736643
1,Magway Region,Gangaw District,94.3197683,21.767137
1,Magway Region,Gangaw District,94.3192665,21.7604424
1,Magway Region,Gangaw District,94.3222791,21.7544173
1,Magway Region,Gangaw District,94.3317582,21.7498378
1,Magway Region,Gangaw District,94.3332152,21.7494065
1,Magway Region,Gangaw District,94.3346915,21.7476211
1,Magway Region,Gangaw District,94.3366722,21.7405262
1,Magway Region,Gangaw District,94.3420278,21.7333295
1,Magway Region,Gangaw District,94.3431994,21.7294801
1,Magway Region,Gangaw District,94.3431995,21.725296
1,Magway Region,Gangaw District,94.3423628,21.7219486
1,Magway Region,Gangaw District,94.338681,21.7186012
1,Magway Region,Gangaw District,94.3393505,21.7144171
1,Magway Region,Gangaw District,94.3415098,21.7115831
1,Magway Region,Gangaw District,94.3415485,21.7089479
1,Magway Region,Gangaw District,94.3383465,21.705212
1,Magway Region,Gangaw District,94.3383466,21.7025341
1,Magway Region,Gangaw District,94.3376772,21.6981826
1,Magway Region,Gangaw District,94.3355017,21.6936637
1,Magway Region,Gangaw District,94.3314852,21.6876384
1,Magway Region,Gangaw District,94.3266319,21.6802742
1,Magway Region,Gangaw District,94.3251258,21.6752532
1,Magway Region,Gangaw District,94.3229503,21.6645418
1,Magway Region,Gangaw District,94.3244567,21.6576798
1,Magway Region,Gangaw District,94.3259754,21.6522688
1,Magway Region,Gangaw District,94.3250438,21.6506791
1,Magway Region,Gangaw District,94.3243766,21.6495407
1,Magway Region,Gangaw District,94.3194362,21.6411105
1,Magway Region,Gangaw District,94.3182649,21.6360895
1,Magway Region,Gangaw District,94.3212774,21.6334117
1,Magway Region,Gangaw District,94.3222816,21.6292275
1,Magway Region,Gangaw District,94.3199387,21.6232023
1,Magway Region,Gangaw District,94.3169264,21.613495
1,Magway Region,Gangaw District,94.3150856,21.603453
1,Magway Region,Gangaw District,94.3145837,21.6004404
1,Magway Region,Gangaw District,94.3156945,21.5975168
1,Magway Region,Gangaw District,94.3157898,21.5911995
1,Magway Region,Gangaw District,94.3129105,21.5842059
1,Magway Region,Gangaw District,94.3107349,21.5781807
1,Magway Region,Gangaw District,94.308392,21.5718207
1,Magway Region,Gangaw District,94.3087269,21.5654608
1,Magway Region,Gangaw District,94.3068861,21.5589335
1,Magway Region,Gangaw District,94.304041,21.5510673
1,Magway Region,Gangaw District,94.3018656,21.5420294
1,Magway Region,Gangaw District,94.3011962,21.5380126
1,Magway Region,Gangaw District,94.3005269,21.5326569
1,Magway Region,Gangaw District,94.2990208,21.5298116
1,Magway Region,Gangaw District,94.2960084,21.5256274
1,Magway Region,Gangaw District,94.2963432,21.5189329
1,Magway Region,Gangaw District,94.2909878,21.5135771
1,Magway Region,Gangaw District,94.2869714,21.506715
1,Magway Region,Gangaw District,94.2866368,21.5028656
1,Magway Region,Gangaw District,94.2889438,21.5010199
1,Magway Region,Gangaw District,94.2887628,21.4956035
1,Magway Region,Gangaw District,94.2878053,21.4951383
1,Magway Region,Gangaw District,94.2873906,21.4906198
1,Magway Region,Gangaw District,94.2845267,21.4850452
1,Magway Region,Gangaw District,94.2830206,21.4781413
1,Magway Region,Gangaw District,94.2838995,21.4670952
1,Magway Region,Gangaw District,94.2838996,21.4613211
1,Magway Region,Gangaw District,94.2870377,21.4527855
1,Magway Region,Gangaw District,94.2913056,21.4398565
1,Magway Region,Gangaw District,94.2934396,21.4335803
1,Magway Region,Gangaw District,94.29231,21.429438
1,Magway Region,Gangaw District,94.2970799,21.4214045
1,Magway Region,Gangaw District,94.2977077,21.4118647
1,Magway Region,Gangaw District,94.2977078,21.3999398
1,Magway Region,Gangaw District,94.2985866,21.3911531
1,Magway Region,Gangaw District,94.300977,21.3887884
1,Magway Region,Gangaw District,94.3020348,21.3865475
